Convention type,Pattern,Example,Frequency,Scope
imports,Static imports from java.nio.file,java.nio.file.Files.exists,,project-wide
imports,Static imports from java.util,java.util.Objects.requireNonNull,,project-wide
imports,Static imports from org.fusesource.jansi,org.fusesource.jansi.Ansi.ansi,,project-wide
naming,get* method naming pattern,getCliVersion,,project-wide
imports,Static imports from io.moderne.cobol.internal,io.moderne.cobol.internal.DurationUtils.formatDuration,,project-wide
imports,Static imports from org.openrewrite.internal,org.openrewrite.internal.StringUtils.repeat,,project-wide
naming,UPPER_SNAKE_CASE for constants,DEFAULT_TERMINAL_WIDTH,,project-wide
comments,Methods have Javadoc documentation,finish,,project-wide
naming,set* method naming pattern,setExtraMessage,,project-wide
naming,Builder suffix for classes,Builder,,project-wide
naming,update* method naming pattern,updateInterval,,project-wide
imports,Static imports from java.util.stream,java.util.stream.Collectors.toList,,project-wide
comments,Classes have Javadoc documentation,ListRepositoryOptions,,project-wide
naming,Repository suffix for classes,LocalRepository,,project-wide
naming,handle* method naming pattern,handleError,,project-wide
naming,validate* method naming pattern,validateOptions,,project-wide
naming,Utils suffix for classes,DurationUtils,,project-wide
naming,format* method naming pattern,formatDuration,,project-wide
naming,Exception suffix for classes,FatalException,,project-wide
naming,camelCase for constants,properties,,project-wide
naming,is* method naming pattern,isPreprocessorFullyParsed,,project-wide
imports,Static imports from org.openrewrite.cobol,org.openrewrite.cobol.CobolStringUtils.*,,project-wide
naming,parse* method naming pattern,parseInputs,,project-wide
imports,Static imports from org.openrewrite,org.openrewrite.Tree.randomId,,project-wide
imports,Static imports from org.openrewrite.cobol.tree,org.openrewrite.cobol.tree.Space.EMPTY,,project-wide
imports,Static imports from org.openrewrite.cobol.internal,org.openrewrite.cobol.internal.CobolGrammarToken.COMMENT_ENTRY,,project-wide
naming,convert* method naming pattern,convertAll,,project-wide
naming,process* method naming pattern,processTokenText,,project-wide
naming,delete* method naming pattern,deleteStatement,,project-wide
imports,Static imports from java.util.regex,java.util.regex.Pattern.MULTILINE,,project-wide
imports,Static imports from org.openrewrite.cobol.table.CobolRelationships,org.openrewrite.cobol.table.CobolRelationships.ResourceAction.*,,project-wide
imports,Static imports from org.openrewrite.jcl.tree,org.openrewrite.jcl.tree.Space.EMPTY,,project-wide
imports,Static imports from org.assertj.core.api,org.assertj.core.api.Assertions.assertThat,,project-wide
imports,Static imports from org.openrewrite.test,org.openrewrite.test.RewriteTest.toRecipe,,project-wide
naming,Test suffix for classes,CobolTest,,project-wide
imports,Static imports from org.openrewrite.cobol.table.CopybookSource,org.openrewrite.cobol.table.CopybookSource.ResolutionStatus.MISSING_SOURCE,,project-wide
naming,find* method naming pattern,findMissingCopybookInCopySource,,project-wide
imports,Static imports from org.openrewrite.controlm,org.openrewrite.controlm.Assertions.controlM,,project-wide
imports,Static imports from org.openrewrite.controlm.tree,org.openrewrite.controlm.tree.ParserAssertions.controlM,,project-wide
