Build tool,Group id,Artifact id,Version,Dependency group id,Dependency artifact id,Dependency version,Direct Dependency,Resolution failure
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.antlr,antlr4,4.13.2,true,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.antlr,antlr4-runtime,4.13.2,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.antlr,ST4,4.3.4,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.antlr,antlr-runtime,3.5.3,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.abego.treelayout,org.abego.treelayout.core,1.0.3,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,com.ibm.icu,icu4j,72.1,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.openrewrite.tools,java-object-diff,1.0.1,true,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.jetbrains,annotations,26.1.0,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.junit.jupiter,junit-jupiter-api,5.14.0,true,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.junit.platform,junit-platform-commons,1.14.0,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.junit,junit-bom,5.14.0,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.apiguardian,apiguardian-api,1.1.2,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.opentest4j,opentest4j,1.3.0,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.junit-pioneer,junit-pioneer,2.3.0,true,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.openrewrite,rewrite-maven,8.83.0-SNAPSHOT,true,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.openrewrite,rewrite-xml,8.83.0-SNAPSHOT,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.openrewrite,rewrite-core,8.83.0-SNAPSHOT,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,com.fasterxml.jackson.dataformat,jackson-dataformat-smile,2.21.2,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,com.fasterxml.jackson.core,jackson-databind,2.21.2,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,com.fasterxml.jackson.core,jackson-core,2.21.2,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,com.fasterxml.jackson,jackson-bom,2.21.2,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,com.fasterxml.jackson.core,jackson-annotations,2.21,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,com.fasterxml.jackson.module,jackson-module-parameter-names,2.21.2,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,com.fasterxml.jackson.datatype,jackson-datatype-jsr310,2.21.2,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.openrewrite.tools,jgit,1.4.2,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.jspecify,jspecify,1.0.0,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.openrewrite,rewrite-test,8.83.0-SNAPSHOT,true,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.junit.jupiter,junit-jupiter-params,5.14.0,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.openrewrite,rewrite-groovy,8.83.0-SNAPSHOT,true,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.openrewrite,rewrite-java,8.83.0-SNAPSHOT,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.openrewrite,rewrite-yaml,8.83.0-SNAPSHOT,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,io.micrometer,micrometer-core,1.9.17,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.hdrhistogram,HdrHistogram,2.1.12,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.junit.platform,junit-platform-launcher,1.14.0,true,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.junit.platform,junit-platform-engine,1.14.0,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,io.github.classgraph,classgraph,4.8.184,true,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.openrewrite,rewrite-bom,8.83.0-SNAPSHOT,true,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.assertj,assertj-core,4.0.0-M1,true,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,net.bytebuddy,byte-buddy,1.17.1,false,
Gradle,org.openrewrite,rewrite-cobol,2.18.0-SNAPSHOT,org.junit.jupiter,junit-jupiter-engine,5.14.0,true,
