Library,Top-level package,Usage pattern,Common classes,Import count,Example usage
info.picocli:picocli:4.7.7,info.picocli,,"CommandLine.Option, CommandLine, CommandLine.Model, CommandLine.Model.CommandSpec, CommandLine.Mixin, CommandLine.Spec, CommandLine.Command",1,
org.openrewrite:rewrite-core:8.72.0-SNAPSHOT,org.openrewrite,,"SourceFile, ParsingExecutionContextView, Tree, ExecutionContext, ParsingEventListener, LstProvenance.Type, InMemoryExecutionContext, Parser.Input",1,
io.moderne:moderne-ast-write:1.69.6,io.moderne,,TreeSerializer,1,
org.openrewrite:rewrite-polyglot:2.10.0-SNAPSHOT,org.openrewrite,,"OmniParser, ProgressBar",1,
org.projectlombok:lombok:1.18.42,org.projectlombok,,"NoArgsConstructor, RequiredArgsConstructor, AllArgsConstructor",1,
org.jspecify:jspecify:1.0.0,org.jspecify,,Nullable,1,
org.jline:jline:3.30.6,org.jline,,"Terminal, TerminalBuilder",1,
org.fusesource.jansi:jansi:2.4.2,org.fusesource.jansi,,"AnsiMode, AnsiOutputStream, AnsiType, AnsiOutputStream.ZeroWidthSupplier, Ansi, AnsiColors, AnsiPrintStream",1,
com.konghq:unirest-java:3.14.2,com.konghq,,"HttpResponse, Unirest, HttpRequestWithBody",1,
org.openrewrite:rewrite-test:8.72.0-SNAPSHOT,org.openrewrite,,"SourceSpec, SourceSpec.ValidateSource, SourceSpecs",1,
io.github.classgraph:classgraph:4.8.184,io.github.classgraph,,"ClassGraph, Resource, ScanResult",1,
org.antlr:antlr4-runtime:4.13.2,org.antlr,,"DFA, Parser, PredictionContextCache, BaseErrorListener, CommonTokenStream, Recognizer, CharStreams, RecognitionException",1,
io.micrometer:micrometer-core:1.9.17,io.micrometer,,"Timer, Timer.Sample, Timer.Builder, CompositeMeterRegistry, Metrics",1,
com.fasterxml.jackson.core:jackson-annotations:2.17.2,com.fasterxml.jackson.core,,JsonCreator,1,
org.junit.jupiter:junit-jupiter-api:5.14.0,org.junit.jupiter,,"Disabled, Test",1,
org.junit.jupiter:junit-jupiter-params:5.14.0,org.junit.jupiter,,"ParameterizedTest, ValueSource",1,
org.assertj:assertj-core:4.0.0-M1,org.assertj,,Assertions,1,
org.junit-pioneer:junit-pioneer:2.3.0,org.junit-pioneer,,ExpectedToFail,1,
org.openrewrite:rewrite-java:8.72.0-SNAPSHOT,org.openrewrite,,"JavaParser, J.ClassDeclaration, J, J.CompilationUnit",1,
