Source path,Class name,Method name,Pattern type,Exception types,Handling strategy,Logging framework,Log level
src/test/java/org/openrewrite/cobol/tree/preprocessor/CobolPreprocessorCopyTest.java,org.openrewrite.cobol.tree.preprocessor.CobolPreprocessorCopyTest,getSource,try-catch,IOException,wrap,,
src/main/java/org/openrewrite/cobol/Assertions.java,org.openrewrite.cobol.Assertions,getCopybookSources,try-catch,IOException,wrap,,
src/main/java/org/openrewrite/cobol/CobolParser.java,org.openrewrite.cobol.CobolParser,parseInput,try-catch,Throwable,recover,,
src/main/java/org/openrewrite/cobol/CobolParser.java,org.openrewrite.cobol.CobolParser,parseInput,try-catch,ParseCancellationException,wrap,,
src/main/java/org/openrewrite/cobol/CobolPreprocessorParser.java,org.openrewrite.cobol.CobolPreprocessorParser,parseInputs,try-catch,Throwable,recover,,
src/main/java/org/openrewrite/cobol/CopybookParser.java,org.openrewrite.cobol.CopybookParser,parseInput,try-catch,Throwable,recover,,
src/main/java/org/openrewrite/cobol/PreprocessorAssertions.java,org.openrewrite.cobol.PreprocessorAssertions,getCopybookSources,try-catch,IOException,wrap,,
src/main/java/org/openrewrite/cobol/internal/grammar/CobolParser.java,org.openrewrite.cobol.internal.grammar.CobolParser$CompilationUnitContext,compilationUnit,throws-declaration,RecognitionException,propagate,,
src/main/java/org/openrewrite/cobol/internal/grammar/CobolParser.java,org.openrewrite.cobol.internal.grammar.CobolParser$CompilationUnitContext,compilationUnit,try-catch,RecognitionException,custom,,
src/main/java/org/openrewrite/cobol/internal/grammar/CobolParser.java,org.openrewrite.cobol.internal.grammar.CobolParser$ProgramUnitContext,programUnit,throws-declaration,RecognitionException,propagate,,
src/main/java/org/openrewrite/cobol/internal/grammar/CobolParser.java,org.openrewrite.cobol.internal.grammar.CobolParser$ProgramUnitContext,programUnit,try-catch,RecognitionException,custom,,
src/main/java/org/openrewrite/cobol/internal/grammar/CobolParser.java,org.openrewrite.cobol.internal.grammar.CobolParser$EndProgramStatementContext,endProgramStatement,throws-declaration,RecognitionException,propagate,,
src/main/java/org/openrewrite/cobol/internal/grammar/CobolParser.java,org.openrewrite.cobol.internal.grammar.CobolParser$EndProgramStatementContext,endProgramStatement,try-catch,RecognitionException,custom,,
src/main/java/org/openrewrite/cobol/internal/grammar/CobolParser.java,org.openrewrite.cobol.internal.grammar.CobolParser$IdentificationDivisionContext,identificationDivision,throws-declaration,RecognitionException,propagate,,
src/main/java/org/openrewrite/cobol/internal/grammar/CobolParser.java,org.openrewrite.cobol.internal.grammar.CobolParser$IdentificationDivisionContext,identificationDivision,try-catch,RecognitionException,custom,,
src/main/java/org/openrewrite/cobol/internal/grammar/CobolParser.java,org.openrewrite.cobol.internal.grammar.CobolParser$IdentificationDivisionBodyContext,identificationDivisionBody,throws-declaration,RecognitionException,propagate,,
src/main/java/org/openrewrite/cobol/internal/grammar/CobolParser.java,org.openrewrite.cobol.internal.grammar.CobolParser$IdentificationDivisionBodyContext,identificationDivisionBody,try-catch,RecognitionException,custom,,
src/main/java/org/openrewrite/cobol/internal/grammar/CobolParser.java,org.openrewrite.cobol.internal.grammar.CobolParser$ProgramIdParagraphContext,programIdParagraph,throws-declaration,RecognitionException,propagate,,
src/main/java/org/openrewrite/cobol/internal/grammar/CobolParser.java,org.openrewrite.cobol.internal.grammar.CobolParser$ProgramIdParagraphContext,programIdParagraph,try-catch,RecognitionException,custom,,
src/main/java/org/openrewrite/cobol/internal/grammar/CobolParser.java,org.openrewrite.cobol.internal.grammar.CobolParser$AuthorParagraphContext,authorParagraph,throws-declaration,RecognitionException,propagate,,
src/main/java/org/openrewrite/cobol/internal/grammar/CobolParser.java,org.openrewrite.cobol.internal.grammar.CobolParser$AuthorParagraphContext,authorParagraph,try-catch,RecognitionException,custom,,
src/main/java/org/openrewrite/cobol/internal/grammar/CobolParser.java,org.openrewrite.cobol.internal.grammar.CobolParser$InstallationParagraphContext,installationParagraph,throws-declaration,RecognitionException,propagate,,
src/main/java/org/openrewrite/cobol/internal/grammar/CobolParser.java,org.openrewrite.cobol.internal.grammar.CobolParser$InstallationParagraphContext,installationParagraph,try-catch,RecognitionException,custom,,
