Source path,Class name,Method name,Method signature,Cyclomatic complexity,Cognitive complexity,Max nesting depth,Line count,Parameter count,ABC score,Assignments,Branches,Conditions,Halstead volume,Halstead difficulty,Halstead estimated bugs
src/test/java/org/openrewrite/mainframe/cobol/CobolTest.java,org.openrewrite.mainframe.cobol.CobolTest,defaults,"org.openrewrite.mainframe.cobol.CobolTest{name=defaults,return=void,parameters=[org.openrewrite.test.RecipeSpec]}",3,3,1,14,1,10.1,1,10,1,255.45,10.33,0.06
src/test/java/org/openrewrite/mainframe/cobol/CobolTest.java,org.openrewrite.mainframe.cobol.CobolTest,getNistResourcePaths,"org.openrewrite.mainframe.cobol.CobolTest{name=getNistResourcePaths,return=java.util.List<java.lang.String>,parameters=[]}",2,1,2,9,0,2.45,1,2,1,50.19,4.9,0.01
src/test/java/org/openrewrite/mainframe/cobol/CobolTest.java,org.openrewrite.mainframe.cobol.CobolTest,getNistResource,"org.openrewrite.mainframe.cobol.CobolTest{name=getNistResource,return=java.lang.String,parameters=[java.lang.String]}",1,0,0,8,1,14.04,1,14,0,198.41,9.08,0.05
src/test/java/org/openrewrite/mainframe/cobol/cleanup/RemoveWithDebuggingModeTest.java,org.openrewrite.mainframe.cobol.cleanup.RemoveWithDebuggingModeTest,defaults,"org.openrewrite.mainframe.cobol.cleanup.RemoveWithDebuggingModeTest{name=defaults,return=void,parameters=[org.openrewrite.test.RecipeSpec]}",1,0,0,5,1,2.0,0,2,0,15.51,1.0,0.0
src/test/java/org/openrewrite/mainframe/cobol/cleanup/RemoveWithDebuggingModeTest.java,org.openrewrite.mainframe.cobol.cleanup.RemoveWithDebuggingModeTest,removeWithDebuggingMode,"org.openrewrite.mainframe.cobol.cleanup.RemoveWithDebuggingModeTest{name=removeWithDebuggingMode,return=void,parameters=[]}",1,0,0,30,0,2.0,0,2,0,15.51,1.0,0.0
src/test/java/org/openrewrite/mainframe/cobol/cleanup/RemoveWithDebuggingModeTest.java,org.openrewrite.mainframe.cobol.cleanup.RemoveWithDebuggingModeTest,noChange,"org.openrewrite.mainframe.cobol.cleanup.RemoveWithDebuggingModeTest{name=noChange,return=void,parameters=[]}",1,0,0,6,0,3.0,0,3,0,19.65,1.5,0.0
src/test/java/org/openrewrite/mainframe/cobol/cleanup/RemoveWithDebuggingModeTest.java,org.openrewrite.mainframe.cobol.cleanup.RemoveWithDebuggingModeTest,removeDebuggingMode,"org.openrewrite.mainframe.cobol.cleanup.RemoveWithDebuggingModeTest{name=removeDebuggingMode,return=void,parameters=[]}",1,0,0,31,0,2.0,0,2,0,15.51,1.0,0.0
src/test/java/org/openrewrite/mainframe/cobol/cleanup/RemoveWithDebuggingModeTest.java,org.openrewrite.mainframe.cobol.cleanup.RemoveWithDebuggingModeTest,requiresAutoFormat,"org.openrewrite.mainframe.cobol.cleanup.RemoveWithDebuggingModeTest{name=requiresAutoFormat,return=void,parameters=[]}",1,0,0,38,0,2.0,0,2,0,15.51,1.0,0.0
src/test/java/org/openrewrite/mainframe/cobol/cleanup/RemoveWithDebuggingModeTest.java,org.openrewrite.mainframe.cobol.cleanup.RemoveWithDebuggingModeTest,endOfCompilationUnit,"org.openrewrite.mainframe.cobol.cleanup.RemoveWithDebuggingModeTest{name=endOfCompilationUnit,return=void,parameters=[]}",1,0,0,34,0,2.0,0,2,0,15.51,1.0,0.0
src/test/java/org/openrewrite/mainframe/cobol/cleanup/RemoveWithDebuggingModeTest.java,org.openrewrite.mainframe.cobol.cleanup.RemoveWithDebuggingModeTest,isContinued,"org.openrewrite.mainframe.cobol.cleanup.RemoveWithDebuggingModeTest{name=isContinued,return=void,parameters=[]}",1,0,0,36,0,2.0,0,2,0,15.51,1.0,0.0
